year_week,moodulation_potentional,k0_au2/s,k0_m2/s,V,year,month
1967.70,674,1.47863501483680E-004,3.32692878338279E+018,453,1967,9
1967.79,663,1.49984917043741E-004,3.37466063348416E+018,452,1967,10
1967.87,691,1.40405209840810E-004,3.15911722141823E+018,441,1967,11
1967.95,694,1.55331412103746E-004,3.49495677233429E+018,490,1967,12
1968.04,680,1.42352941176471E-004,3.20294117647059E+018,440,1968,1
1968.12,688,1.53168604651163E-004,3.44629360465116E+018,479,1968,2
1968.20,693,1.47936507936508E-004,3.32857142857143E+018,466,1968,3
1968.29,684,1.50526315789474E-004,3.38684210526316E+018,468,1968,4
1968.37,708,1.48531073446328E-004,3.34194915254237E+018,478,1968,5
1968.45,752,1.43058510638298E-004,3.21881648936170E+018,489,1968,6
1968.54,746,1.34182305630027E-004,3.01910187667560E+018,455,1968,7
1968.62,732,1.41557377049180E-004,3.18504098360656E+018,471,1968,8
1968.70,758,1.29736147757256E-004,2.91906332453826E+018,447,1968,9
1968.79,801,1.32659176029963E-004,2.98483146067416E+018,483,1968,10
1968.87,883,1.37032842582106E-004,3.08323895809740E+018,550,1968,11
1968.95,854,1.15409836065574E-004,2.59672131147541E+018,448,1968,12
1969.04,761,1.24599211563732E-004,2.80348226018397E+018,431,1969,1
1969.12,756,1.29206349206349E-004,2.90714285714286E+018,444,1969,2
1969.20,771,1.31543450064851E-004,2.95972762645914E+018,461,1969,3
1969.29,788,1.16700507614213E-004,2.62576142131980E+018,418,1969,4
1969.37,864,1.11273148148148E-004,2.50364583333333E+018,437,1969,5
1969.45,897,9.81047937569677E-005,2.20735785953177E+018,400,1969,6
1969.54,861,9.40301974448316E-005,2.11567944250871E+018,368,1969,7
1969.62,812,1.11354679802956E-004,2.50548029556650E+018,411,1969,8
1969.70,784,1.16734693877551E-004,2.62653061224490E+018,416,1969,9
1969.79,774,1.11989664082687E-004,2.51976744186047E+018,394,1969,10
1969.87,770,1.19142857142857E-004,2.68071428571429E+018,417,1969,11
1969.95,772,1.17124352331606E-004,2.63529792746114E+018,411,1969,12
1970.04,768,1.09427083333333E-004,2.46210937500000E+018,382,1970,1
1970.12,740,1.21297297297297E-004,2.72918918918919E+018,408,1970,2
1970.20,746,1.29168900804290E-004,2.90630026809651E+018,438,1970,3
1970.29,791,1.21542351453856E-004,2.73470290771176E+018,437,1970,4
1970.37,783,1.16321839080460E-004,2.61724137931035E+018,414,1970,5
1970.45,849,1.06760895170789E-004,2.40212014134276E+018,412,1970,6
1970.54,848,1.21415094339623E-004,2.73183962264151E+018,468,1970,7
1970.62,801,1.11510611735331E-004,2.50898876404494E+018,406,1970,8
1970.70,754,1.28381962864722E-004,2.88859416445623E+018,440,1970,9
1970.79,736,1.23750000000000E-004,2.78437500000000E+018,414,1970,10
1970.87,776,1.25309278350515E-004,2.81945876288660E+018,442,1970,11
1970.95,704,1.18125000000000E-004,2.65781250000000E+018,378,1970,12
1971.04,691,1.46454413892909E-004,3.29522431259045E+018,460,1971,1
1971.12,652,1.56564417177914E-004,3.52269938650307E+018,464,1971,2
1971.20,644,1.48260869565217E-004,3.33586956521739E+018,434,1971,3
1971.29,644,1.48602484472050E-004,3.34355590062112E+018,435,1971,4
1971.37,627,1.49473684210526E-004,3.36315789473684E+018,426,1971,5
1971.45,579,1.61485319516408E-004,3.63341968911917E+018,425,1971,6
1971.54,574,1.65191637630662E-004,3.71681184668990E+018,431,1971,7
1971.62,559,1.57423971377460E-004,3.54203935599284E+018,9999,1971,8
1971.70,557,1.57989228007181E-004,3.55475763016158E+018,9999,1971,9
1971.79,535,1.64485981308411E-004,3.70093457943925E+018,9999,1971,10
1971.87,538,1.63568773234201E-004,3.68029739776952E+018,9999,1971,11
1971.95,550,1.92800000000000E-004,4.33800000000000E+018,482,1971,12
1972.04,545,1.82458715596330E-004,4.10532110091743E+018,452,1972,1
1972.12,542,1.68450184501845E-004,3.79012915129151E+018,415,1972,2
1972.20,509,1.73752455795678E-004,3.90943025540275E+018,402,1972,3
1972.29,499,1.68416833667335E-004,3.78937875751503E+018,382,1972,4
1972.37,516,1.73100775193799E-004,3.89476744186047E+018,406,1972,5
1972.45,565,1.54973451327434E-004,3.48690265486726E+018,398,1972,6
1972.54,533,1.49831144465291E-004,3.37120075046904E+018,363,1972,7
1972.62,649,1.35593220338983E-004,3.05084745762712E+018,9999,1972,8
1972.70,542,1.62361623616236E-004,3.65313653136531E+018,9999,1972,9
1972.79,529,1.60529300567108E-004,3.61190926275992E+018,386,1972,10
1972.87,554,1.65198555956679E-004,3.71696750902527E+018,416,1972,11
1972.95,532,1.51353383458647E-004,3.40545112781955E+018,366,1972,12
1973.04,525,2.04495238095238E-004,4.60114285714286E+018,488,1973,1
1973.12,528,2.12500000000000E-004,4.78125000000000E+018,510,1973,2
1973.20,548,2.09562043795620E-004,4.71514598540146E+018,522,1973,3
1973.29,603,2.06500829187396E-004,4.64626865671642E+018,566,1973,4
1973.37,639,1.86604068857590E-004,4.19859154929577E+018,542,1973,5
1973.45,582,1.94295532646048E-004,4.37164948453608E+018,514,1973,6
1973.54,559,1.90089445438283E-004,4.27701252236136E+018,483,1973,7
1973.62,546,1.71648351648352E-004,3.86208791208791E+018,426,1973,8
1973.70,513,1.80545808966862E-004,4.06228070175439E+018,421,1973,9
1973.79,516,1.98682170542636E-004,4.47034883720930E+018,466,1973,10
1973.87,508,1.89685039370079E-004,4.26791338582677E+018,438,1973,11
1973.95,505,1.94297029702970E-004,4.37168316831683E+018,446,1973,12
1974.04,514,2.20428015564202E-004,4.95963035019455E+018,515,1974,1
1974.12,500,2.19120000000000E-004,4.93020000000000E+018,498,1974,2
1974.20,527,2.24174573055029E-004,5.04392789373814E+018,537,1974,3
1974.29,535,2.14242990654206E-004,4.82046728971963E+018,521,1974,4
1974.37,580,1.97241379310345E-004,4.43793103448276E+018,520,1974,5
1974.45,603,2.01028192371476E-004,4.52313432835821E+018,551,1974,6
1974.54,648,1.84012345679012E-004,4.14027777777778E+018,542,1974,7
1974.62,605,1.88363636363636E-004,4.23818181818182E+018,518,1974,8
1974.70,635,1.86393700787402E-004,4.19385826771654E+018,538,1974,9
1974.79,629,1.88521462639110E-004,4.24173290937997E+018,539,1974,10
1974.87,614,1.88110749185668E-004,4.23249185667752E+018,525,1974,11
1974.95,566,2.07173144876325E-004,4.66139575971731E+018,533,1974,12
1975.04,560,1.98392857142857E-004,4.46383928571429E+018,505,1975,1
1975.12,535,2.29869158878505E-004,5.17205607476636E+018,559,1975,2
1975.20,527,2.23339658444023E-004,5.02514231499051E+018,535,1975,3
1975.29,517,2.10212765957447E-004,4.72978723404255E+018,494,1975,4
1975.37,511,2.09667318982388E-004,4.71751467710372E+018,487,1975,5
1975.45,501,2.16047904191617E-004,4.86107784431138E+018,492,1975,6
1975.54,506,2.11739130434783E-004,4.76413043478261E+018,487,1975,7
1975.62,523,1.84244741873805E-004,4.14550669216061E+018,438,1975,8
1975.70,516,1.71821705426357E-004,3.86598837209302E+018,403,1975,9
1975.79,520,1.65846153846154E-004,3.73153846153846E+018,392,1975,10
1975.87,545,1.89321100917431E-004,4.25972477064220E+018,469,1975,11
1975.95,524,2.14122137404580E-004,4.81774809160305E+018,510,1975,12
1976.04,531,1.91826741996234E-004,4.31610169491525E+018,463,1976,1
1976.12,521,2.16621880998081E-004,4.87399232245681E+018,513,1976,2
1976.20,522,2.25478927203065E-004,5.07327586206897E+018,535,1976,3
1976.29,540,1.94740740740741E-004,4.38166666666667E+018,478,1976,4
1976.37,520,1.89115384615385E-004,4.25509615384615E+018,447,1976,5
1976.45,508,1.92283464566929E-004,4.32637795275591E+018,444,1976,6
1976.54,501,2.04191616766467E-004,4.59431137724551E+018,465,1976,7
1976.62,500,1.83040000000000E-004,4.11840000000000E+018,416,1976,8
1976.70,492,1.96300813008130E-004,4.41676829268293E+018,439,1976,9
1976.79,495,1.81777777777778E-004,4.09000000000000E+018,409,1976,10
1976.87,494,1.75910931174089E-004,3.95799595141700E+018,395,1976,11
1976.95,499,1.82084168336673E-004,4.09689378757515E+018,413,1976,12
1977.04,506,1.74347826086957E-004,3.92282608695652E+018,401,1977,1
1977.12,503,1.89383697813121E-004,4.26113320079523E+018,433,1977,2
1977.20,492,1.78414634146341E-004,4.01432926829268E+018,399,1977,3
1977.29,499,1.97074148296593E-004,4.43416833667335E+018,447,1977,4
1977.37,498,1.81124497991968E-004,4.07530120481928E+018,410,1977,5
1977.45,510,1.80313725490196E-004,4.05705882352941E+018,418,1977,6
1977.54,546,1.81721611721612E-004,4.08873626373626E+018,451,1977,7
1977.62,540,1.89444444444444E-004,4.26250000000000E+018,465,1977,8
1977.70,541,1.69168207024030E-004,3.80628465804067E+018,416,1977,9
1977.79,515,1.68310679611651E-004,3.78699029126214E+018,394,1977,10
1977.87,504,1.65873015873016E-004,3.73214285714286E+018,380,1977,11
1977.95,503,1.63578528827038E-004,3.68051689860835E+018,374,1977,12
1978.04,547,1.62486288848263E-004,3.65594149908592E+018,404,1978,1
1978.12,560,1.65000000000000E-004,3.71250000000000E+018,420,1978,2
1978.20,568,1.74683098591549E-004,3.93036971830986E+018,451,1978,3
1978.29,613,1.77650897226754E-004,3.99714518760196E+018,495,1978,4
1978.37,667,1.55022488755622E-004,3.48800599700150E+018,470,1978,5
1978.45,623,1.59967897271268E-004,3.59927768860353E+018,453,1978,6
1978.54,619,1.36833602584814E-004,3.07875605815832E+018,385,1978,7
1978.62,560,1.57928571428571E-004,3.55339285714286E+018,402,1978,8
1978.70,555,1.70054054054054E-004,3.82621621621622E+018,429,1978,9
1978.79,603,1.45207296849088E-004,3.26716417910448E+018,398,1978,10
1978.87,583,1.64528301886793E-004,3.70188679245283E+018,436,1978,11
1978.95,583,1.65660377358491E-004,3.72735849056604E+018,439,1978,12
1979.04,622,1.59163987138264E-004,3.58118971061093E+018,450,1979,1
1979.12,638,1.46206896551724E-004,3.28965517241379E+018,424,1979,2
1979.20,664,1.40481927710843E-004,3.16084337349398E+018,424,1979,3
1979.29,720,1.53694444444444E-004,3.45812500000000E+018,503,1979,4
1979.37,696,1.40660919540230E-004,3.16487068965517E+018,445,1979,5
1979.45,757,1.18282694848085E-004,2.66136063408190E+018,407,1979,6
1979.54,757,1.16829590488772E-004,2.62866578599736E+018,402,1979,7
1979.62,821,1.17101096224117E-004,2.63477466504263E+018,437,1979,8
1979.70,799,1.06558197747184E-004,2.39755944931164E+018,387,1979,9
1979.79,748,1.07941176470588E-004,2.42867647058824E+018,367,1979,10
1979.87,749,1.06034712950601E-004,2.38578104138852E+018,361,1979,11
1979.95,701,1.17375178316690E-004,2.64094151212554E+018,374,1979,12
1980.04,717,1.26722454672246E-004,2.85125523012552E+018,413,1980,1
1980.12,727,1.16808803301238E-004,2.62819807427785E+018,386,1980,2
1980.20,692,1.09364161849711E-004,2.46069364161850E+018,344,1980,3
1980.29,735,1.20027210884354E-004,2.70061224489796E+018,401,1980,4
1980.37,734,1.11198910081744E-004,2.50197547683924E+018,371,1980,5
1980.45,813,1.07429274292743E-004,2.41715867158672E+018,397,1980,6
1980.54,817,1.01787025703794E-004,2.29020807833537E+018,378,1980,7
1980.62,803,9.72602739726028E-005,2.18835616438356E+018,355,1980,8
1980.70,793,9.54350567465322E-005,2.14728877679697E+018,344,1980,9
1980.79,853,1.09355216881594E-004,2.46049237983587E+018,424,1980,10
1980.87,905,1.10364640883978E-004,2.48320441988950E+018,454,1980,11
1980.95,906,1.03443708609272E-004,2.32748344370861E+018,426,1980,12
1981.04,833,1.01152460984394E-004,2.27593037214886E+018,383,1981,1
1981.12,878,1.03485193621868E-004,2.32841685649203E+018,413,1981,2
1981.20,888,1.11486486486487E-004,2.50844594594595E+018,450,1981,3
1981.29,919,1.19934711643090E-004,2.69853101196953E+018,501,1981,4
1981.37,955,1.01130890052356E-004,2.27544502617801E+018,439,1981,5
1981.45,869,1.00759493670886E-004,2.26708860759494E+018,398,1981,6
1981.54,860,1.11534883720930E-004,2.50953488372093E+018,436,1981,7
1981.62,858,1.13333333333333E-004,2.55000000000000E+018,442,1981,8
1981.70,816,1.00294117647059E-004,2.25661764705882E+018,372,1981,9
1981.79,911,1.11811196487377E-004,2.51575192096597E+018,463,1981,10
1981.87,894,1.04340044742729E-004,2.34765100671141E+018,424,1981,11
1981.95,827,1.00290205562273E-004,2.25652962515115E+018,377,1981,12
1982.04,773,1.20388098318241E-004,2.70873221216041E+018,423,1982,1
1982.12,877,1.24675028506271E-004,2.80518814139111E+018,497,1982,2
1982.20,784,1.20102040816327E-004,2.70229591836735E+018,428,1982,3
1982.29,765,1.34588235294118E-004,3.02823529411765E+018,468,1982,4
1982.37,735,1.44272108843537E-004,3.24612244897959E+018,482,1982,5
1982.45,880,1.14750000000000E-004,2.58187500000000E+018,459,1982,6
1982.54,1012,1.10869565217391E-004,2.49456521739130E+018,510,1982,7
1982.62,1008,1.02579365079365E-004,2.30803571428571E+018,470,1982,8
1982.70,1082,1.01256931608133E-004,2.27828096118299E+018,498,1982,9
1982.79,1008,8.38095238095238E-005,1.88571428571429E+018,384,1982,10
1982.87,973,9.04419321685509E-005,2.03494347379240E+018,9999,1982,11
1982.95,1029,8.55199222546162E-005,1.92419825072886E+018,9999,1982,12
1983.04,936,9.40170940170940E-005,2.11538461538462E+018,9999,1983,1
